Case,Sample 1,Sample 2,Sample 3
00011827_003.png,0,0,0
00011925_072.png,0,0,0
00012045_019.png,0,0,0
00012094_040.png,0,0,0
00012174_000.png,0,0,0
00012270_005.png,0,0,0
00012414_000.png,0,0,0
00012592_005.png,0,0,0
00012829_004.png,0,0,0
00012892_010.png,0,0,0
00013337_000.png,0,0,0
00013673_001.png,0,0,0
00013685_000.png,0,0,0
00013751_003.png,0,0,0
00013911_021.png,0,0,0
00013951_001.png,0,0,0
00013977_005.png,0,0,0
00013991_000.png,0,0,0
00014015_003.png,0,0,0
00014251_029.png,0,0,0
00014280_000.png,0,0,0
00014447_004.png,0,0,0
00015792_005.png,0,0,0
00016267_000.png,0,0,0
00016429_015.png,0,0,0
00016587_069.png,0,0,0
00016589_005.png,0,0,0
00017028_000.png,0,0,0
00017137_016.png,0,0,0
00017214_015.png,0,0,0
00017243_010.png,0,0,0
00018063_000.png,0,0,0
00018366_000.png,0,0,0
00018980_002.png,0,0,0
00019013_002.png,0,0,0
00019124_090.png,0,0,0
00019495_004.png,0,0,0
00019767_016.png,0,0,0
00020000_000.png,0,0,0
00020124_003.png,0,0,0
